DATE,PRCP,TMAX,TMIN,AVGHIGH,AVGLOW,RECHIGH,RECLOW
2014-01-01,5.0,33.0,-17.0,-16.925619834710744,-120.79338842975207,139.0,-333.0
2014-01-02,0.0,28.0,-83.0,-6.809917355371901,-120.35537190082644,117.0,-311.0
2014-01-03,5.0,67.0,-11.0,-5.454545454545454,-114.72727272727273,117.0,-311.0
2014-01-04,10.0,11.0,-133.0,-4.12396694214876,-113.93388429752066,111.0,-317.0
2014-01-05,18.0,-72.0,-194.0,-0.4297520661157025,-111.04132231404958,106.0,-339.0
2014-01-06,0.0,-61.0,-239.0,-4.416666666666667,-111.0,128.0,-344.0
2014-01-07,8.0,17.0,-78.0,-1.115702479338843,-104.87603305785125,133.0,-361.0
2014-01-08,5.0,33.0,-61.0,3.115702479338843,-106.48760330578513,183.0,-361.0
2014-01-09,10.0,33.0,-17.0,-3.049586776859504,-107.36363636363636,128.0,-328.0
2014-01-10,0.0,28.0,-44.0,-3.9008264462809916,-112.54545454545455,111.0,-333.0
2014-01-11,0.0,94.0,6.0,-4.363636363636363,-111.00826446280992,128.0,-350.0
2014-01-12,5.0,78.0,-28.0,-1.7166666666666666,-116.07438016528926,133.0,-333.0
2014-01-13,0.0,56.0,-17.0,5.115702479338843,-103.49586776859505,144.0,-306.0
2014-01-14,0.0,56.0,-17.0,-0.8099173553719008,-99.78512396694215,128.0,-317.0
2014-01-15,0.0,61.0,-50.0,5.950413223140496,-102.82644628099173,128.0,-317.0
2014-01-16,0.0,78.0,-44.0,-1.0413223140495869,-107.11570247933884,156.0,-322.0
2014-01-17,0.0,83.0,-78.0,2.884297520661157,-106.96694214876032,144.0,-367.0
2014-01-18,0.0,83.0,-83.0,7.545454545454546,-102.6198347107438,122.0,-350.0
2014-01-19,0.0,72.0,-44.0,4.016528925619835,-108.04132231404958,161.0,-350.0
2014-01-20,0.0,56.0,-89.0,-3.9917355371900825,-115.04132231404958,128.0,-372.0
2014-01-21,0.0,61.0,-89.0,0.5867768595041323,-110.11570247933884,117.0,-333.0
2014-01-22,25.0,61.0,-50.0,6.413223140495868,-107.08264462809917,128.0,-344.0
2014-01-23,0.0,-11.0,-106.0,6.333333333333333,-104.30833333333334,144.0,-344.0
2014-01-24,0.0,39.0,-72.0,3.075,-104.26446280991736,144.0,-378.0
2014-01-25,0.0,72.0,-78.0,-0.5537190082644629,-112.25619834710744,128.0,-378.0
2014-01-26,15.0,56.0,-39.0,-3.793388429752066,-112.65289256198348,133.0,-344.0
2014-01-27,3.0,-33.0,-122.0,-2.743801652892562,-111.63636363636364,128.0,-361.0
2014-01-28,0.0,-28.0,-167.0,-4.545454545454546,-114.02479338842976,111.0,-361.0
2014-01-29,3.0,33.0,-67.0,-6.809917355371901,-119.37190082644628,128.0,-344.0
2014-01-30,36.0,39.0,-117.0,-0.6942148760330579,-110.24793388429752,128.0,-322.0
2014-01-31,28.0,-22.0,-178.0,-5.75206611570248,-114.06611570247934,161.0,-378.0
2014-02-01,46.0,-33.0,-139.0,-0.2396694214876033,-114.98347107438016,167.0,-411.0
2014-02-02,3.0,-78.0,-211.0,3.2479338842975207,-107.4297520661157,167.0,-344.0
2014-02-03,0.0,-72.0,-189.0,10.793388429752065,-102.0,144.0,-350.0
2014-02-04,0.0,-139.0,-217.0,17.570247933884296,-96.0495867768595,178.0,-344.0
2014-02-05,0.0,-178.0,-267.0,14.776859504132231,-93.03305785123968,144.0,-339.0
2014-02-06,0.0,-217.0,-333.0,14.479338842975206,-98.9504132231405,156.0,-339.0
2014-02-07,3.0,-78.0,-300.0,10.826446280991735,-102.48760330578513,144.0,-383.0
2014-02-08,30.0,-94.0,-167.0,1.7685950413223142,-103.60330578512396,128.0,-417.0
2014-02-09,28.0,-122.0,-178.0,10.446280991735538,-104.29752066115702,139.0,-378.0
2014-02-10,0.0,-17.0,-167.0,16.49586776859504,-103.23140495867769,150.0,-322.0
2014-02-11,8.0,33.0,-33.0,18.107438016528924,-91.84297520661157,156.0,-361.0
2014-02-12,0.0,67.0,-89.0,21.84297520661157,-90.61157024793388,139.0,-339.0
2014-02-13,8.0,67.0,-6.0,12.561983471074381,-94.14876033057851,150.0,-383.0
2014-02-14,0.0,50.0,-61.0,10.413223140495868,-95.14876033057851,144.0,-350.0
2014-02-15,10.0,61.0,-33.0,17.8099173553719,-97.98347107438016,144.0,-372.0
2014-02-16,43.0,78.0,-17.0,27.33884297520661,-85.44628099173553,133.0,-339.0
2014-02-17,0.0,61.0,-67.0,25.446280991735538,-87.87603305785125,139.0,-367.0
2014-02-18,0.0,61.0,-44.0,24.733333333333334,-82.79338842975207,150.0,-311.0
2014-02-19,0.0,50.0,-28.0,25.710743801652892,-85.85950413223141,156.0,-272.0
2014-02-20,0.0,0.0,-72.0,26.31404958677686,-82.36363636363636,172.0,-272.0
2014-02-21,0.0,0.0,-56.0,29.950413223140497,-80.53719008264463,156.0,-283.0
2014-02-22,36.0,-28.0,-106.0,31.45,-83.80833333333334,144.0,-339.0
2014-02-23,0.0,-56.0,-122.0,27.876033057851238,-85.18181818181819,133.0,-317.0
2014-02-24,8.0,-89.0,-161.0,31.768595041322314,-86.18181818181819,172.0,-317.0
2014-02-25,56.0,-100.0,-133.0,28.066666666666666,-81.225,167.0,-283.0
2014-02-26,0.0,-44.0,-233.0,25.694214876033058,-87.6198347107438,167.0,-283.0
2014-02-27,0.0,11.0,-156.0,31.735537190082646,-82.27272727272727,172.0,-289.0
2014-02-28,76.0,6.0,-150.0,28.818181818181817,-81.85950413223141,161.0,-294.0
2014-03-01,25.0,-128.0,-244.0,34.00826446280992,-78.2396694214876,156.0,-278.0
2014-03-02,8.0,-78.0,-250.0,30.925619834710744,-83.10743801652893,167.0,-272.0
2014-03-03,13.0,83.0,-117.0,31.429752066115704,-84.57851239669421,206.0,-267.0
2014-03-04,25.0,89.0,-11.0,34.16528925619835,-84.14876033057851,189.0,-256.0
2014-03-05,0.0,100.0,-17.0,32.082644628099175,-87.6694214876033,200.0,-272.0
2014-03-06,69.0,89.0,0.0,38.84297520661157,-79.73553719008264,183.0,-322.0
2014-03-07,8.0,61.0,-6.0,42.413223140495866,-75.2892561983471,156.0,-250.0
2014-03-08,0.0,72.0,-50.0,50.46280991735537,-66.35537190082644,167.0,-289.0
2014-03-09,0.0,106.0,33.0,52.88429752066116,-61.752066115702476,206.0,-322.0
2014-03-10,71.0,111.0,11.0,52.80165289256198,-63.31404958677686,200.0,-328.0
2014-03-11,249.0,22.0,-28.0,51.46280991735537,-66.32231404958678,194.0,-289.0
2014-03-12,0.0,44.0,-78.0,52.3801652892562,-67.54545454545455,178.0,-244.0
2014-03-13,0.0,78.0,-72.0,50.53719008264463,-64.28099173553719,189.0,-267.0
2014-03-14,0.0,83.0,-50.0,53.0,-65.06611570247934,194.0,-233.0
2014-03-15,0.0,67.0,0.0,62.752066115702476,-62.760330578512395,222.0,-300.0
2014-03-16,0.0,117.0,-11.0,69.3305785123967,-50.87603305785124,217.0,-250.0
2014-03-17,51.0,117.0,-6.0,64.49586776859505,-51.40495867768595,211.0,-239.0
2014-03-18,76.0,11.0,-44.0,64.93388429752066,-47.760330578512395,189.0,-250.0
2014-03-19,0.0,33.0,-100.0,70.06611570247934,-48.603305785123965,200.0,-233.0
2014-03-20,0.0,61.0,0.0,74.13223140495867,-48.14876033057851,206.0,-244.0
