DATE,PRCP,TMAX,TMIN
20140101,5,33,-17
20140102,0,28,-83
20140103,5,67,-11
20140104,10,11,-133
20140105,18,-72,-194
20140106,0,-61,-239
20140107,8,17,-78
20140108,5,33,-61
20140109,10,33,-17
20140110,0,28,-44
20140111,0,94,6
20140112,5,78,-28
20140113,0,56,-17
20140114,0,56,-17
20140115,0,61,-50
20140116,0,78,-44
20140117,0,83,-78
20140118,0,83,-83
20140119,0,72,-44
20140120,0,56,-89
20140121,0,61,-89
20140122,25,61,-50
20140123,0,-11,-106
20140124,0,39,-72
20140125,0,72,-78
20140126,15,56,-39
20140127,3,-33,-122
20140128,0,-28,-167
20140129,3,33,-67
20140130,36,39,-117
20140131,28,-22,-178
20140201,46,-33,-139
20140202,3,-78,-211
20140203,0,-72,-189
20140204,0,-139,-217
20140205,0,-178,-267
20140206,0,-217,-333
20140207,3,-78,-300
20140208,30,-94,-167
20140209,28,-122,-178
20140210,0,-17,-167
20140211,8,33,-33
20140212,0,67,-89
20140213,8,67,-6
20140214,0,50,-61
20140215,10,61,-33
20140216,43,78,-17
20140217,0,61,-67
20140218,0,61,-44
20140219,0,50,-28
20140220,0,0,-72
20140221,0,0,-56
20140222,36,-28,-106
20140223,0,-56,-122
20140224,8,-89,-161
20140225,56,-100,-133
20140226,0,-44,-233
20140227,0,11,-156
20140228,76,6,-150
20140301,25,-128,-244
20140302,8,-78,-250
20140303,13,83,-117
20140304,25,89,-11
20140305,0,100,-17
20140306,69,89,0
20140307,8,61,-6
20140308,0,72,-50
20140309,0,106,33
20140310,71,111,11
20140311,249,22,-28
20140312,0,44,-78
20140313,0,78,-72
20140314,0,83,-50
20140315,0,67,0
20140316,0,117,-11
20140317,51,117,-6
20140318,76,11,-44
20140319,0,33,-100
20140320,0,61,0
20140321,0,28,-67
20140322,0,6,-111
20140323,0,22,-56
20140324,0,28,-89
20140325,0,111,-72
20140326,46,128,0
20140327,61,72,-44
20140328,36,78,-39
20140329,38,83,11
20140330,48,39,0
20140331,53,39,-33
20140401,0,56,-50
20140402,5,56,-39
20140403,10,78,-50
20140404,0,106,-33
20140405,89,100,-6
20140406,8,89,0
20140407,0,133,17
20140408,0,200,-11
20140409,0,200,67
20140410,0,139,-17
20140411,0,172,-6
20140412,0,183,-17
20140413,0,61,-67
20140414,0,106,-89
20140415,48,133,6
20140416,8,83,-11
20140417,0,144,-6
20140418,91,144,-11
20140419,0,167,-39
20140420,0,172,28
20140421,0,189,-17
20140422,3,194,83
20140423,114,156,-11
20140424,0,106,22
20140425,3,133,0
20140426,28,139,11
20140427,74,89,6
20140428,84,89,-17
20140429,0,78,-22
20140430,0,133,-17
20140501,0,156,6
20140502,0,206,33
20140503,0,217,39
20140504,0,150,22
20140505,8,156,33
20140506,71,128,17
20140507,53,56,-22
20140508,0,117,-28
20140509,102,133,28
20140510,43,78,-6
20140511,43,67,0
20140512,13,61,-11
20140513,0,133,-17
20140514,0,167,-11
20140515,0,211,44
20140516,0,211,83
20140517,20,194,44
20140518,61,194,56
20140519,33,144,28
20140520,0,161,28
20140521,0,200,61
20140522,0,222,50
20140523,0,250,94
20140524,0,261,89
20140525,30,228,67
20140526,0,244,89
20140527,0,233,67
20140528,0,250,117
20140529,0,272,83
20140530,0,206,39
20140531,0,211,89
20140601,61,206,67
20140602,0,211,56
20140603,5,217,106
20140604,66,217,61
20140605,0,211,50
20140606,0,222,67
20140607,0,183,44
20140608,0,189,56
20140609,0,244,61
20140610,0,244,89
20140611,28,217,50
20140612,0,189,72
20140613,25,200,100
20140614,74,128,44
20140615,5,178,56
20140616,81,172,28
20140617,160,117,61
20140618,23,139,39
20140619,58,194,72
